proficiency,lex_soph1,lex_soph2
20.35,1.2,2.770028548
42.33,2.125,2.772359447
33.51,1.166667,2.814195347
34.15,2.75,2.660737906
31.85,5.5,2.631740019
35.81,4.75,2.6049071
37.09,4,2.762925782
32.23,3.125,2.775865923
36.71,4.2,2.59011797
34.15,3.5,2.749306248
20.74,6,2.791088546
20.87,4.666667,2.830020947
36.45,6.6,2.63297303
38.11,10.5,2.642448693
31.6,4,2.583740482
28.66,4.333333,2.688894158
40.79,8,2.632433576
37.47,2.818182,2.642949883
18.69,1.6,2.862025245
42.71,3.833333,2.579388918
26.61,3.142857,2.842715934
60.72,2.636364,2.460638292
49.73,6,2.577221692
36.96,2.714286,2.7075517
33.77,1.6,2.802163219
20.35,2.666667,2.63741577
36.58,4.833333,2.861304169
35.94,2.111111,2.756224747
42.2,5.4,2.775489439
46.03,2.714286,2.453700504
40.67,3.714286,2.58201888
36.96,1,2.61099776
41.56,7.5,2.510382901
43.73,5.25,2.670339375
46.03,18.5,2.711436682
39,4.2,2.658131347
27.12,2,2.619054451
32.36,3.875,2.802614841
42.45,3.8,2.791855792
37.47,2.888889,2.807396491
42.84,7.8,2.689236179
40.92,4.142857,2.694382133
28.66,6.75,2.78422664
34.02,1.3125,2.825904709
37.6,1.909091,2.809739581
47.56,3.111111,2.542898936
21.12,2.25,2.884987031
25.21,15,2.703568215
29.42,2,2.768911043
12.31,12,2.819383157
15.12,7,2.872636543
36.83,3.125,2.668351403
28.66,10,2.991088696
32.87,1.5,2.798696303
22.14,1.142857,2.82331537
20.1,2.2,3.008670613
35.68,3.8,2.779210204
36.32,2.833333,2.756709264
36.58,2.833333,2.842897028
35.43,3.142857,2.794596885
11.8,10,2.797459425
18.44,1.4,2.822675492
5.41,5,3.079151242
35.04,6.666667,2.704592458
28.91,10,2.677577235
38.49,2.5,2.651401136
38.75,2,2.595649408
39.77,3.142857,2.722130569
28.02,2.5,2.85563141
32.62,4.5,2.740369649
34.02,4.2,2.718353878
26.1,2,2.688902435
32.23,2.571429,2.879903102
32.75,6,2.853424588
27.12,2.666667,2.830389478
15.37,12,2.781868121
16.27,3.25,2.883937665
25.59,2.333333,2.792312998
29.3,1.555556,2.642361481
27.89,2.75,2.826875697
