filename,Country,VST,Proficiency_Number,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,maas_ttr_aw,maas_ttr_cw,mattr50_aw,mattr50_cw,msttr50_aw,msttr50_cw,hdd42_aw,hdd42_cw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
W_KOR_PTJ0_127_B2_0.txt,KOR,43,4,0.615384615,0.5,0.541666667,0.666666667,0.048859413,0.042587487,0.785508982,0.808474576,0.78,0.74,0.811831219,0.813296155,58.15384615,60.72914521,67.86154009,62.17454689,69.74537037,66.35185185,13.75,13.75,9.166666667,1.5,2.125,1.5,0.416666667,0.625,1,0.4375,0.375,0.25,1.25,0.833333333
W_KOR_PTJ0_130_B1_2.txt,KOR,45,3,0.611650485,0.440909091,0.468181818,0.649484536,0.060067217,0.047483848,0.688421053,0.735,0.675,0.74,0.75804505,0.762183046,33.14373559,41.9811828,36.16530055,30.9140975,38.09090909,37.06185567,15.13333333,13.35294118,7.566666667,2,2.352941176,1.764705882,0.4,0.705882353,1.133333333,0.411764706,0.294117647,0.166666667,1.352941176,0.766666667
W_KOR_PTJ0_138_B2_0.txt,KOR,45,4,0.608333333,0.408906883,0.48582996,0.722772277,0.054762581,0.035097794,0.706565657,0.826923077,0.715,0.78,0.780389475,0.823951598,49.08832808,59.94308943,43.47551603,24.64285714,45.60323887,72.53465347,12.8,11.13043478,8.533333333,1.5,1.782608696,1.304347826,0.4,0.52173913,1.15,0.434782609,0.130434783,0.1,1.086956522,0.833333333
W_KOR_PTJ0_145_A2_0.txt,KOR,30,1,0.631578947,0.435897436,0.487179487,0.705882353,0.055638835,0.037493773,0.729405405,0.785660377,0.705,0.83,0.774736296,0.843418302,58.5,102,52.17712902,48.34700665,52.77777778,83.55882353,11.38095238,11.38095238,8.535714286,1.333333333,1.619047619,1.333333333,0.357142857,0.476190476,1,0.333333333,0.333333333,0.25,1.142857143,0.857142857
W_KOR_PTJ0_149_A2_0.txt,KOR,36,1,0.680851064,0.585858586,0.474747475,0.551724138,0.061337918,0.060600379,0.720134228,0.732835821,0.72,0.76,0.752911609,0.737447656,49.5,58,41.72444629,42.12700803,43.7979798,41.79310345,43,43,10.23809524,4.2,4.8,4.2,0.333333333,1.4,1,0.4,1.4,0.333333333,6.8,1.619047619
W_KOR_PTJ0_159_B1_1.txt,KOR,21,2,0.606382979,0.432835821,0.467661692,0.655172414,0.0622217,0.048819069,0.714868421,0.776842105,0.695,0.72,0.732403269,0.767104628,44.04118616,47.01838235,46.76238926,41.01337719,44.14925373,39.27586207,17.58333333,17.58333333,8.44,2.083333333,3,2.083333333,0.52,1.083333333,1,0.583333333,0.5,0.24,1.583333333,0.76
W_KOR_PTJ0_171_A2_0.txt,KOR,12,1,0.651785714,0.505,0.56,0.722772277,0.047558902,0.035097794,0.762649007,0.831153846,0.74,0.84,0.772926832,0.847344363,56.56565657,102.01,56.49198762,0,55.06,98.94059406,9.454545455,9.454545455,8,1.181818182,1.409090909,1.181818182,0.153846154,0.181818182,1,0.181818182,0.045454545,0.038461538,1.363636364,1.153846154
W_KOR_PTJ0_174_B1_1.txt,KOR,43,2,0.564814815,0.387755102,0.440816327,0.642105263,0.062322212,0.049188073,0.714897959,0.753913043,0.695,0.7,0.778300792,0.795445169,52.4665392,47.5,43.60093352,49.36547619,49.36326531,52.26315789,12.89473684,12.25,7.424242424,1.736842105,2.05,1.65,0.454545455,0.75,1.052631579,0.55,0.25,0.151515152,1.1,0.666666667
W_KOR_PTJ0_177_B2_0.txt,KOR,46,4,0.6,0.512077295,0.483091787,0.566037736,0.058908822,0.060254222,0.756835443,0.712631579,0.76,0.73,0.769689796,0.73515243,64.71960298,52.93366708,56.1713909,40.89675007,59.52657005,40.00943396,14.92857143,13.93333333,6.966666667,2.142857143,2.666666667,2,0.433333333,0.866666667,1.071428571,0.6,0.066666667,0.033333333,1.666666667,0.833333333
W_KOR_PTJ0_197_A2_0.txt,KOR,30,1,0.603960396,0.439393939,0.51010101,0.701149425,0.055424086,0.040988911,0.747114094,0.805263158,0.753333333,0.78,0.780767529,0.808702082,59.37349398,87,54.82878652,81.79166667,50.62626263,60.01149425,9.363636364,8.583333333,6.242424242,1.5,1.791666667,1.375,0.363636364,0.5,1.090909091,0.208333333,0,0,1,0.727272727
