Score,acad_av_delta_p_verb_out_type,acad_av_lemma_construction_freq_type,acad_av_construction_freq_log,DC_C,MLC,CN_C
3.5,0.03197,19560.06061,4.302402,0.555556,11.444444,1.333333
3,0.012357,22263.9697,4.333261,0.581395,7.813953,0.744186
2,0.0278,16507.35135,4.180846,0.196078,7.019608,0.411765
3,0.023865,11308.30303,4.24929,0.421053,8.657895,0.710526
3,0.015956,14937.43333,4.285882,0.424242,11,1.30303
3,0.027427,19009.25714,4.202661,0.4,8.311111,0.533333
3,0.013722,9931.325,4.242069,0.545455,9.515152,0.575758
4,0.022733,19966.08108,4.022898,0.478261,8.065217,0.695652
3,0.020002,15391.05556,4.01032,0.424242,10.272727,0.909091
2,0.002989,21865.78571,3.82868,0.190476,11.142857,0.952381
2.5,0.022836,15836.4,4.12928,0.576923,8.807692,0.692308
3.5,0.030992,16528.87805,4.239866,0.531915,7.808511,0.744681
4,0.028997,19215.84849,4.241191,0.555556,10.388889,1.194444
3.5,0.028145,12098.61539,4.102741,0.310345,10.758621,1.310345
2.5,0.009204,24971.63636,3.978855,0.411765,8.529412,1.029412
3.5,0.035635,22763.1875,4.14384,0.470588,11.617647,1.235294
3.5,0.010974,15211.21154,4.403574,0.414634,9,0.731707
2.5,0.005259,1328.894737,3.781352,0.47619,10.380952,1.047619
4.5,0.022551,17345.68421,4.106102,0.485714,12.4,1.514286
3.5,0.023267,11083.06061,4.460687,0.441176,8.147059,0.823529
4.5,0.03316,14188.72,4.429716,0.466667,9.666667,0.916667
3,0.016942,11449.61364,4.045835,0.480769,9.211538,0.846154
3,0.027205,19539.81818,4.168977,0.44186,8.651163,0.581395
2.5,0.011034,18858.41936,3.971723,0.5,12.107143,1.214286
3,0.009346,24901.1875,4.044995,0.47619,10.809524,0.714286
3.5,0.027025,5387.75,4.101345,0.791667,7.291667,0.770833
3.5,0.004933,20260.6875,4.439678,0.486486,9.513514,1.054054
3,0.016309,19734.41667,4.326378,0.372093,9.790698,0.511628
4.5,0.012419,13988.76923,4.239256,0.238095,10.785714,0.928571
5,0.021074,14364.11364,4.31343,0.512821,10.230769,0.794872
3,0.023593,16441.64706,4.49047,0.542857,10.514286,1.4
4.5,0.058084,15342.58537,4.043157,0.473684,10.473684,1.105263
5,0.029638,8034.526316,4.151498,0.52381,6.587302,0.555556
2.5,0.013735,16615.27273,4.244023,0.467742,7.129032,0.774194
3.5,0.019881,21655.21875,4.084585,0.564103,9.846154,1.128205
3,0.015486,20648.72727,4.44187,0.428571,10.214286,1.25
3,0.023836,13103.32432,4.337049,0.571429,9.057143,0.657143
2.5,0.006976,10096.03226,3.871198,0.470588,11.794118,1.088235
3.5,0.019454,15728.10638,4.227846,0.490909,6.890909,0.654545
3.5,0.01633,17002.20408,4.305085,0.419355,6.774194,0.403226
4,0.025867,15903.91111,4.215944,0.625,7.232143,0.696429
2.5,0.023551,5637.677419,4.380338,0.612903,9.774194,1.16129
4.5,0.016192,15209.80952,4.30553,0.525,8.6,0.9
3,0.013716,17145.28947,4.137146,0.311111,8.466667,0.755556
5,0.0226,15743.93333,4.179785,0.509804,8.941176,1.019608
2.5,0.004261,6604.5,3.911187,0.833333,8.875,1.291667
3,0.015334,28054.20833,4.089908,0.275862,10,1.034483
2.5,0.030441,20829.03846,4.440881,0.258065,9.806452,1.064516
2,0.00922,23178.57143,3.948209,0.25,10.0625,0.8125
2.5,0.009887,27404.75,4.100221,0.333333,12.6,1.4
2.5,0.037035,9770.477273,4.074338,0.358491,7.169811,0.509434
2.5,0.029562,14069,4.025264,0.461538,11.384615,0.923077
1.5,0.002691,26570.47619,4.574028,0.644444,6.933333,0.933333
2.5,0.021537,15333.04546,3.834787,0.45,12.25,1.4
2.5,0.010043,29783.56522,3.943545,0.375,9.458333,0.875
3,0.013472,22418.08333,4.021218,0.452381,7.952381,0.738095
2.5,0.020175,13760.23333,4.015623,0.34,7.06,0.76
2,0.009684,20352.93939,4.092819,0.391304,8.021739,0.630435
2.5,0.021194,16958.2973,4.299542,0.244444,8.288889,0.644444
2,0.025388,29214.1875,4.045671,0.533333,10.2,0.866667
2.5,0.006992,35191.5,4.266089,0.375,8.416667,1
1,0.02166,56021.45455,4.661904,0.307692,7.230769,0.846154
3,0.015146,19918.16667,4.071734,0.25,12.5,1.214286
2,0.029108,21094.51515,4.387747,0.282051,8.051282,0.717949
3,0.004743,27439.03448,4.268101,0.311111,8.977778,0.866667
2.5,0.015169,21317.16129,3.866734,0.34375,12.40625,1.28125
3.5,0.02391,11719.13889,4.007511,0.255814,8.697674,0.883721
3,0.005091,15414.73913,3.787684,0.538462,10.807692,1.192308
2.5,0.000834,33467.375,4.373586,0.35,17,1.85
3,0.006979,19782.6875,4.090256,0.475,9,0.95
2.5,0.013019,15498.125,4.320454,0.411765,8.058824,0.764706
2,0.016013,20007.71429,3.883609,0.615385,8.282051,0.589744
2,0.004994,29149,3.511779,0.363636,10.121212,0.909091
3,0.017287,12491.67742,3.975632,0.344828,10.137931,0.586207
2,0.021614,19804.59091,4.060859,0.409091,8.318182,0.909091
2,0.014639,19387.77273,4.501824,0.263158,10.105263,0.736842
3,0.017737,21766.84615,4.273927,0.428571,10.035714,0.928571
2,0.008385,20570.65385,4.390686,0.222222,11.518519,1
3,0.006503,9409.083333,4.071437,0.586207,9.931034,0.931034
2,0.012338,20171.44828,4.026069,0.4,9.228571,1
2.5,0.009358,4742.363636,4.007598,0.208333,8.625,0.625
2.5,0.023148,16327.21739,3.957156,0.458333,10.416667,1.208333
1.5,-0.001716,10377.80769,4.341761,0.194444,7.138889,0.611111
2,0.019505,19658.13636,4.27468,0.357143,9.071429,0.857143
3,0.033489,25398.2,3.754027,0.3,15.95,1.05
3,0.022543,5879.3,3.801296,0.294118,9.411765,1.176471
3,0.019278,24342.89286,4.257537,0.580645,12.451613,1.354839
3,0.021345,13192.94444,3.862081,0.333333,7.833333,0.645833
2.5,0.01692,21324.31818,4.121944,0.352941,10.529412,1.117647
3,0.010961,16884,3.960611,0.451613,11.258065,0.935484
2.5,0.01435,19462.77778,3.976021,0.25,16.9375,1.5625
2,0.026557,32849.77778,4.191969,0.47619,10.380952,1.238095
3,0.016189,18909.81081,4.438209,0.347826,7.891304,0.717391
2.5,0.012101,15101,4.157383,0.25,10.875,1.041667
3.5,0.014597,12028.8125,4.13858,0.566667,12.533333,1.3
3.5,0.03287,11643.77419,4.005396,0.310345,10.517241,0.931034
3,0.032531,11961.04546,3.939989,0.192308,12.346154,1.730769
3,0.010181,18370.10526,3.998898,0.47619,8.547619,0.690476
3,0.03316,27155,4.37808,0.423077,10.538462,0.884615
2.5,0.011638,12507.9375,3.994696,0.333333,9.083333,0.972222
3,0.01774,12445.25,3.947774,0.321429,6.428571,0.5
3,0.031159,12089.18919,3.855331,0.391304,7.478261,0.586957
4,0.027018,21038.27273,4.021569,0.425,9.475,0.925
3,0.028289,16584.75,3.78964,0.5,8.588235,0.735294
3,0.030439,10251.30769,3.690362,0.393939,9.545455,0.575758
3,0.065275,26921.6,4.149275,0.5625,9.59375,0.90625
2.5,0.006777,27180.53333,3.953273,0.526316,12.578947,1.578947
3,0.016083,5819.282051,3.913665,0.574468,7.234043,0.510638
3,-0.001425,18214.05556,3.84855,0.516129,8.451613,1.225806
3,0.036248,12942.87879,4.304937,0.333333,10.592593,1.333333
3,0.023914,20183.21429,3.961482,0.333333,12.666667,1.555556
3.5,0.044115,21840.06897,4.248573,0.2,8.525,0.825
3,0.04142,13785.34783,3.659406,0.3,9.233333,0.966667
2,0.020331,15989.83784,4.22292,0.529412,7.686275,0.627451
3.5,0.010053,21925.28571,4.068866,0.357143,11.75,1.357143
3,0.020585,16107.65385,4.199514,0.172414,9.827586,0.827586
3,0.008864,22745.17857,4.355973,0.461538,9.192308,1.115385
3,0.003426,38969.2,3.668374,0.15,10.65,0.9
4,0.020198,18977.65517,4.266491,0.382353,11.764706,1.470588
3,0.032628,6588.47619,3.799533,0.62963,8.037037,0.814815
3.5,0.027425,11935.125,3.980811,0.428571,10.342857,1.114286
4.5,0.021637,20493.16129,3.845361,0.358974,10.641026,0.923077
3,0.021589,21376.60526,4.000845,0.34,7.68,0.56
3.5,0.013832,18825.03333,4.042962,0.285714,9.690476,0.880952
3.5,0.037393,17781.16667,3.980371,0.315789,14.736842,1.526316
4.5,0.019387,20027,3.895011,0.26087,7.826087,0.608696
3.5,0.003643,22402.11539,4.260951,0.142857,11.464286,0.964286
3,0.033359,26315.33333,4.325497,0.444444,13.388889,1.611111
3.5,0.01587,17609.85366,4.230694,0.363636,9.863636,1.068182
3.5,0.023085,11867.65455,4.092858,0.467742,8.322581,0.66129
3.5,0.011336,18225.11429,4.239238,0.322581,10.129032,0.677419
3.5,0.027917,25798.07692,4.011301,0.275862,11.551724,1.551724
3.5,0.006304,2412.96,3.548503,0.30303,10.424242,1.181818
3,0.021553,11909,3.920785,0.448276,9.62069,1.172414
3.5,0.043032,20852.97222,3.908702,0.473684,10.447368,1.105263
3.5,0.021341,25677,4.362075,0.421053,9.210526,1.078947
3.5,0.04118,20477.3125,4.363716,0.225806,9.354839,0.774194
3,0.036867,16474.26667,4.143164,0.333333,11,0.962963
3.5,0.01862,18716,4.293822,0.4,13.55,1.2
