filenames,Proficiency,Frequent_Trigram_Proportion,Meaningfulness_AW,Register_Range_CW,L1_Word_Reaction_Time,Concreteness_AW
78.txt,Int,0.121019,390.140496,13.466667,621.533677,2.616786
79.txt,Int,0.12,403.136842,13.84127,605.032308,2.850794
8.txt,High,0.179104,375.027273,12.73913,624.761838,2.898
80.txt,Int,0.183432,358.402985,13,610.67247,2.578161
81.txt,Int,0.102273,370.037037,13.465909,611.642866,2.439773
82.txt,Int,0.224852,394.487013,14.291667,607.673576,2.856118
83.txt,High,0.212903,376.966942,13.678571,618.074314,2.660513
84.txt,Int,0.120879,383.272727,13.423077,613.386154,2.923913
85.txt,High,0.291391,371.641026,13.3875,617.761333,2.476282
86.txt,Int,0.210938,363.323232,13.762712,620.694146,2.341231
87.txt,Int,0.241135,363.890909,13.661765,624.642336,2.520139
88.txt,Beginner,0.190909,383.56044,13.473684,604.513084,2.903929
89.txt,Int,0.213333,392.894737,14.746988,612.155298,2.645
9.txt,High,0.284672,348.601852,12.662338,624.28471,2.475857
90.txt,Int,0.122302,360.747253,13.061728,629.859851,2.405
91.txt,Int,0.129032,416.038462,13.820896,598.431062,2.474576
92.txt,Beginner,0.147727,378.369231,12.857143,610.094878,2.766667
93.txt,Beginner,0.263804,381.157895,14.295455,614.828861,2.640244
94.txt,Int,0.131868,384.567568,12.413793,595.127935,2.889412
95.txt,Int,0.329341,370.29078,14.5,607.591534,2.284706
96.txt,High,0.088496,331.9,10.234375,655.634865,2.575167
97.txt,Int,0.205556,359.013986,13.933333,613.13858,2.376667
98.txt,Int,0.262069,381.546219,13.613333,616.731549,2.667432
99.txt,High,0.224638,367.405405,13.72973,614.187681,2.515735
